Transaction ID,Filtered Transaction
Tran1021,"Diapers, Flour, Cheese, Diapers"
Tran1022,"Flour, Juice, Juice"
Tran1023,"Detergent, Cheese, Sugar, Cheese"
Tran1024,Tea
Tran1025,"Sugar, Diapers, Cheese, Sugar"
Tran1026,"Detergent, Cheese, Sugar, Cheese"
Tran1028,"Diapers, Diapers"
Tran1029,"Detergent, Cheese, Sugar, Cheese"
Tran1030,"Diapers, Diapers"
Tran1031,Tea
Tran1032,"Shampoo, Detergent, Detergent"
Tran1033,"Diapers, Flour, Cheese, Diapers"
Tran1034,"Cheese, Cheese"
Tran1035,"Cheese, Cheese"
Tran1036,"Tea, Tea"
Tran1038,Tea
Tran1039,"Detergent, Shampoo, Shampoo"
Tran1040,Tea
Tran1041,"Flour, Juice, Juice"
Tran1042,"Cheese, Cheese, Cheese"
Tran1043,"Flour, Juice, Juice"
Tran1044,"Flour, Cheese, Flour"
Tran1045,Tea
Tran1046,"Shampoo, Detergent, Detergent"
Tran1047,"Diapers, Diapers"
Tran1048,"Detergent, Cheese, Sugar, Cheese"
Tran1050,"Sugar, Diapers, Cheese, Sugar"
Tran1051,"Sugar, Diapers, Cheese, Sugar"
Tran1052,"Cheese, Cheese"
Tran1053,Tea
Tran1054,"Shampoo, Detergent, Detergent"
Tran1055,"Shampoo, Detergent, Detergent"
Tran1057,"Cheese, Cheese"
Tran1058,"Cheese, Cheese"
Tran1059,Cheese
Tran1060,"Diapers, Flour, Cheese, Diapers"
Tran1061,Tea
Tran1062,"Detergent, Shampoo, Shampoo"
Tran1063,"Diapers, Flour, Cheese, Diapers"
Tran1065,"Detergent, Shampoo, Shampoo"
Tran1066,"Flour, Cheese, Flour"
Tran1067,"Detergent, Tea"
Tran1068,"Sugar, Sugar"
Tran1069,"Cheese, Cheese"
Tran1070,"Detergent, Tea"
Tran1071,"Detergent, Shampoo, Tea, Cheese, Shampoo"
Tran1074,"Juice, Tea, Juice"
Tran1075,Tea
Tran1076,"Cheese, Cheese"
Tran1077,Cheese
Tran1078,"Detergent, Cheese, Sugar, Cheese"
Tran1079,Tea
Tran1080,"Cheese, Cheese, Cheese"
Tran1082,"Flour, Juice, Juice"
Tran1083,"Cheese, Cheese, Cheese"
Tran1084,"Detergent, Shampoo, Tea, Cheese, Shampoo"
Tran1085,"Cheese, Cheese"
Tran1087,"Detergent, Shampoo, Tea, Cheese, Shampoo"
Tran1088,"Flour, Cheese, Flour, Cheese"
Tran1090,"Cheese, Cheese"
Tran1091,"Detergent, Shampoo, Shampoo"
Tran1092,"Sugar, Sugar"
Tran1093,Tea
Tran1094,"Flour, Cheese, Flour"
Tran1095,"Flour, Cheese, Flour"
Tran1096,"Flour, Cheese, Flour"
Tran1097,"Shampoo, Detergent, Detergent"
Tran1098,"Flour, Juice, Juice"
Tran1099,Cheese
Tran1100,Cheese
Tran1101,"Flour, Juice, Juice"
Tran1102,"Sugar, Sugar"
Tran1103,"Juice, Tea, Juice"
Tran1104,"Sugar, Sugar"
Tran1105,Tea
Tran1106,"Juice, Tea, Juice"
Tran1107,"Diapers, Flour, Cheese, Diapers"
Tran1108,Tea
Tran1109,"Flour, Cheese, Flour"
Tran1110,"Detergent, Cheese, Sugar, Cheese, Cheese"
Tran1111,"Juice, Tea, Juice, Tea"
Tran1112,"Detergent, Shampoo, Shampoo"
Tran1114,Tea
Tran1115,"Detergent, Shampoo, Tea, Cheese, Shampoo"
Tran1116,Cheese
Tran1117,Tea
Tran1118,"Diapers, Diapers"
Tran1119,Cheese
Tran1120,"Cheese, Cheese"
Tran1121,"Diapers, Diapers"
Tran1123,"Sugar, Diapers, Cheese, Sugar"
Tran1124,"Sugar, Diapers, Cheese, Sugar"
Tran1126,"Sugar, Sugar"
Tran1127,Cheese
Tran1128,"Detergent, Shampoo, Tea, Cheese, Shampoo"
Tran1129,"Cheese, Cheese"
Tran1130,Tea
Tran1131,"Cheese, Cheese"
Tran1132,"Cheese, Cheese"
Tran1133,"Detergent, Tea"
Tran1134,Tea
Tran1135,Cheese
Tran1136,Cheese
Tran1137,"Detergent, Shampoo, Shampoo"
Tran1138,"Shampoo, Detergent, Detergent"
Tran1139,"Cheese, Cheese"
Tran1140,"Detergent, Cheese, Sugar, Cheese"
Tran1141,"Juice, Tea, Juice, Juice"
Tran1142,"Detergent, Tea"
Tran1143,"Flour, Cheese, Flour"
Tran1144,"Detergent, Shampoo, Shampoo"
Tran1146,Tea
Tran1147,"Juice, Tea, Juice"
Tran1148,Tea
Tran1149,"Detergent, Cheese, Sugar, Cheese"
Tran1150,"Diapers, Flour, Cheese, Diapers"
Tran1151,"Flour, Cheese, Flour"
Tran1152,"Detergent, Shampoo, Tea, Cheese, Shampoo, Cheese"
Tran1153,"Detergent, Tea"
Tran1154,"Flour, Juice, Juice"
Tran1155,"Cheese, Cheese"
Tran1156,"Detergent, Cheese, Sugar, Cheese"
Tran1157,"Shampoo, Detergent, Detergent"
Tran1158,"Diapers, Diapers, Diapers"
Tran1159,"Detergent, Shampoo, Tea, Cheese, Shampoo"
Tran1160,Tea
Tran1161,"Diapers, Diapers"
Tran1163,"Cheese, Cheese"
Tran1164,"Cheese, Cheese"
Tran1165,"Cheese, Cheese"
Tran1166,"Diapers, Flour, Cheese, Diapers"
Tran1167,"Diapers, Flour, Cheese, Diapers"
Tran1168,"Sugar, Diapers, Cheese, Sugar"
Tran1169,"Flour, Juice, Juice"
Tran1170,"Flour, Cheese, Flour"
Tran1171,"Sugar, Diapers, Cheese, Sugar"
Tran1172,Tea
Tran1173,"Diapers, Diapers"
Tran1174,"Sugar, Sugar"
Tran1175,"Sugar, Diapers, Cheese, Sugar"
Tran1176,"Sugar, Sugar"
Tran1177,Tea
Tran1178,"Cheese, Cheese"
Tran1179,Cheese
Tran1180,"Detergent, Cheese, Sugar, Cheese"
Tran1181,"Diapers, Diapers"
Tran1182,"Cheese, Cheese"
Tran1183,"Sugar, Sugar, Sugar"
Tran1184,"Cheese, Cheese"
Tran1185,"Sugar, Sugar"
Tran1186,"Flour, Cheese, Flour"
Tran1187,"Detergent, Tea, Tea"
Tran1188,"Cheese, Cheese"
Tran1189,"Detergent, Cheese, Sugar, Cheese"
Tran1190,"Sugar, Diapers, Cheese, Sugar"
Tran1191,"Flour, Cheese, Flour"
Tran1192,"Detergent, Cheese, Sugar, Cheese"
Tran1193,"Diapers, Diapers"
Tran1194,"Shampoo, Detergent, Detergent"
Tran1195,"Cheese, Cheese"
Tran1196,"Shampoo, Detergent, Detergent"
Tran1197,"Diapers, Diapers"
Tran1198,"Cheese, Cheese"
Tran1199,"Cheese, Cheese"
Tran1200,"Cheese, Cheese"
Tran1201,"Cheese, Cheese"
Tran1202,"Diapers, Flour, Cheese, Diapers"
Tran1203,"Detergent, Tea"
Tran1204,"Diapers, Diapers"
Tran1206,"Flour, Cheese, Flour"
