Transaction ID,Filtered Transaction
Tran4021,"Cold and Flu Medicine ,  First Aid Supplies,  First Aid Supplies,  First Aid Supplies"
Tran4024,"Band-Aids ,  First Aid Supplies ,  First Aid Supplies "
Tran4025,"Toothpaste ,  Band-Aids,  Toothpaste "
Tran4027,"Cold and Flu Medicine ,  Thermometer,  Thermometer"
Tran4028,"Blood Pressure Monitor ,  Thermometer,  Blood Pressure Monitor "
Tran4029," Band-Aids ,  Toothpaste ,  Insect Repellent ,  First Aid Supplies,  Insect Repellent "
Tran4030,Blood Pressure Monitor 
Tran4031,"Cold and Flu Medicine ,  First Aid Supplies,  First Aid Supplies"
Tran4032,"Cold and Flu Medicine ,  Insect Repellent ,  Blood Pressure Monitor,  Cold and Flu Medicine "
Tran4033," Toothpaste,  Toothpaste"
Tran4034," Band-Aids ,  Toothpaste ,  Insect Repellent ,  First Aid Supplies,  Insect Repellent "
Tran4035,"Band-Aids ,  Cold and Flu Medicine ,  Blood Pressure Monitor,  Band-Aids "
Tran4036," Band-Aids ,  Toothpaste ,  Insect Repellent ,  First Aid Supplies,  Insect Repellent "
Tran4037,Blood Pressure Monitor 
Tran4038,"Cold and Flu Medicine ,  Thermometer,  Thermometer"
Tran4039, Insect Repellent 
Tran4040,"Band-Aids ,  First Aid Supplies ,  First Aid Supplies "
Tran4041, Insect Repellent 
Tran4042,"Cold and Flu Medicine ,  Thermometer,  Thermometer"
Tran4043,Blood Pressure Monitor 
Tran4044,"Eye Drops ,  Eye Drops "
Tran4045,"Band-Aids ,  Cold and Flu Medicine ,  Blood Pressure Monitor,  Band-Aids "
Tran4046,"Cold and Flu Medicine ,  Insect Repellent ,  Blood Pressure Monitor,  Cold and Flu Medicine "
Tran4047,"Cold and Flu Medicine ,  Thermometer,  Thermometer"
Tran4049,"Eye Drops ,  Blood Pressure Monitor ,  Eye Drops "
Tran4050," Toothpaste,  Toothpaste,  Toothpaste"
Tran4051," Band-Aids ,  Toothpaste ,  Insect Repellent ,  First Aid Supplies,  Insect Repellent "
Tran4052, Insect Repellent 
Tran4054,"First Aid Supplies ,  Thermometer,  Thermometer"
Tran4055,"Blood Pressure Monitor ,  Thermometer,  Blood Pressure Monitor "
Tran4056, Insect Repellent 
Tran4057," Band-Aids ,  Toothpaste ,  Insect Repellent ,  First Aid Supplies,  Insect Repellent "
Tran4058," Band-Aids ,  Toothpaste ,  Insect Repellent ,  First Aid Supplies,  Insect Repellent "
Tran4059,"Cold and Flu Medicine ,  Insect Repellent ,  Blood Pressure Monitor,  Cold and Flu Medicine "
Tran4060,"Blood Pressure Monitor ,  Thermometer,  Blood Pressure Monitor "
