Transaction ID,Filtered Transaction
Tran3021,"Razors,  Razors"
Tran3022,"Milk ,  Toilet Paper,  Milk "
Tran3023," Toilet Paper ,  Trash Bags,  Toilet Paper "
Tran3024," Lotion,  Lotion"
Tran3025," Laundry Detergent ,  Trash Bags ,  Dog Food ,  Lotion,  Trash Bags "
Tran3026,"Milk ,  Toilet Paper,  Milk "
Tran3027,"Milk,  Milk"
Tran3028,"Milk,  Milk"
Tran3029," Laundry Detergent ,  Trash Bags ,  Dog Food ,  Lotion,  Trash Bags "
Tran3030,"Laundry Detergent ,  Laundry Detergent "
Tran3031,"Milk ,  Paper Towels,  Paper Towels"
Tran3032,"Milk ,  Toilet Paper,  Milk "
Tran3034,"Paper Towels,  Paper Towels"
Tran3035," Dog Food,  Dog Food"
Tran3036," Lotion,  Lotion,  Lotion"
Tran3037," Toilet Paper ,  Trash Bags,  Toilet Paper "
Tran3038,"Milk,  Milk"
Tran3039,"Paper Towels,  Paper Towels"
Tran3040,"Dog Food ,  Trash Bags ,  Trash Bags "
Tran3041,"Laundry Detergent ,  Trash Bags,  Laundry Detergent "
Tran3042," Toilet Paper ,  Trash Bags,  Toilet Paper "
Tran3043,"Razors,  Razors"
Tran3044," Laundry Detergent ,  Dog Food"
Tran3045,"Razors,  Razors,  Razors"
Tran3046,"Laundry Detergent ,  Laundry Detergent "
Tran3047,"Milk ,  Toilet Paper,  Milk "
Tran3048," Dog Food,  Dog Food"
Tran3049,"Milk ,  Toilet Paper ,  Paper Towels ,  Razors,  Milk "
Tran3050,"Paper Towels,  Paper Towels"
Tran3051," Dog Food,  Dog Food"
Tran3052," Laundry Detergent ,  Dog Food"
Tran3053," Laundry Detergent ,  Trash Bags ,  Dog Food ,  Lotion,  Trash Bags "
Tran3054,"Milk ,  Toilet Paper,  Milk "
Tran3055,"Paper Towels,  Paper Towels"
Tran3056," Dog Food,  Dog Food"
Tran3057,"Paper Towels,  Paper Towels"
Tran3058,"Milk ,  Toilet Paper,  Milk "
Tran3059," Laundry Detergent ,  Dog Food"
Tran3060,"Paper Towels,  Paper Towels"
Tran3061,"Milk,  Milk"
Tran3062,"Milk ,  Toilet Paper,  Milk "
Tran3063," Dog Food,  Dog Food,  Dog Food"
